,_c0,Borough,startStationName,latitude,longitude,prediction,concat
129,493,Bronx,Gerard Ave & E 146 St,40.817755,-73.92965,999,Bronx999
130,494,Queens,31 St & Newtown Ave,40.767549,-73.920933,999,Queens999
131,495,Bronx,E 169 St & Webster Ave,40.834015,-73.908863,999,Bronx999
132,502,Bronx,Grand Concourse & E 171 St,40.839549,-73.913004,999,Bronx999
133,513,Bronx,Fulton Ave & E 172 St,40.839229,-73.899047,999,Bronx999
134,514,Queens,8 St & Astoria Blvd,40.7726,-73.932662,999,Queens999
135,515,Queens,Crescent St & Ditmars Blvd,40.778719,-73.914564,999,Queens999
136,517,Queens,21 St & 43 Ave,40.75052534,-73.945948,999,Queens999
137,518,Bronx,Grand Concourse & E 156 St,40.823429,-73.924689,999,Bronx999
138,521,Bronx,Prospect Ave & Jennings St,40.831762,-73.896853,999,Bronx999
139,523,Bronx,3 Ave & Franklin Ave,40.82696,-73.907451,999,Bronx999
140,525,Bronx,Faile St & Garrison Ave,40.820578,-73.888271,999,Bronx999
141,527,Queens,49 St & 25 Ave,40.764496,-73.904632,999,Queens999
142,529,Bronx,Fulton Ave & E 168 St,40.830471,-73.904556,999,Bronx999
143,530,Queens,20 Ave & 38 St,40.777112,-73.902382,999,Queens999
144,538,Queens,21 St & Queens Plaza North,40.75326,-73.943357,999,Queens999
145,543,Bronx,E 135 St & St Ann's Ave,40.805089,-73.918889,999,Bronx999
146,544,Bronx,Freeman St & Southern Blvd,40.830051,-73.892103,999,Bronx999
147,554,Queens,Madison St & Woodward Ave,40.70408,-73.90408,999,Queens999
148,559,Queens,31 Rd & 21 St,40.766824,-73.930486,999,Queens999
149,565,Bronx,Brook Ave & E 148 St,40.814383,-73.915368,999,Bronx999
150,566,Queens,Steinway St & 23 Ave,40.771394,-73.907743,999,Queens999
151,567,Bronx,W 170 St & University Ave,40.84207,-73.926075,999,Bronx999
152,568,Bronx,Jerome Ave & W 193 St,40.86659,-73.89794,999,Bronx999
153,573,Queens,31 Ave & 34 St,40.763154,-73.920827,999,Queens999
154,580,Queens,35 Ave & 37 St,40.755733,-73.923661,999,Queens999
155,584,Queens,Menahan St & Seneca Ave,40.70461,-73.91054,999,Queens999
156,587,Queens,Ditmars Blvd & 48 St,40.769219,-73.901001,999,Queens999
157,593,Bronx,E 138 St & Canal St W,40.812304,-73.929153,999,Bronx999
158,607,Queens,31 Ave & 30 St,40.7647,-73.924031,999,Queens999
159,611,Bronx,Garrison Ave & Manida St,40.818743,-73.890247,999,Bronx999
160,612,Bronx,Melrose Ave & E 154 St,40.819609,-73.916071,999,Bronx999
161,615,Queens,38 St & 30 Ave,40.764175,-73.915839,999,Queens999
162,616,Queens,31 Ave & 14 St,40.7682,-73.932266,999,Queens999
163,618,Bronx,E 165 St & Jerome Ave,40.83263,-73.925101,999,Bronx999
164,622,Bronx,Morris Ave & E 163 St,40.82723,-73.917655,999,Bronx999
165,626,Bronx,St. Ann's Ave & E 144 St,40.812,-73.914,999,Bronx999
166,628,Queens,62 St & Northern Blvd,40.754176,-73.900318,999,Queens999
167,629,Bronx,Grant Ave & E 164 St,40.828847,-73.91769,999,Bronx999
168,630,Bronx,W Burnside Ave & University Ave,40.853686,-73.912498,999,Bronx999
169,635,Queens,35 St & 30 Ave,40.765476,-73.918115,999,Queens999
170,636,Bronx,River Ave & E 153 St,40.82441,-73.92818,999,Bronx999
171,641,Bronx,Featherbed Ln & Jerome Ave,40.845505,-73.914311,999,Bronx999
172,651,Bronx,Featherbed Ln & Nelson Ave,40.846011,-73.919637,999,Bronx999
173,652,Queens,21 Ave & 80 St,40.770888,-73.889914,999,Queens999
174,658,Bronx,Grant Ave & E 169 St,40.83579,-73.913741,999,Bronx999
175,664,Queens,19 St & 24 Ave,40.7774552,-73.92254,999,Queens999
176,667,Queens,27 St & Hunter St,40.7485,-73.941275,999,Queens999
177,669,Bronx,Washington Ave & E 167 St,40.829896,-73.907618,999,Bronx999
178,683,Bronx,Andrew Ave N & Hall of Fame Tce,40.85834,-73.91008,999,Bronx999
179,686,Queens,34 Ave & 21 St,40.762814,-73.934286,999,Queens999
180,687,Bronx,Bainbridge Ave & E 193 St,40.86389,-73.89246,999,Bronx999
181,692,Bronx,E Tremont Ave & E 176 St,40.847798,-73.901883,999,Bronx999
182,695,Queens,31 Ave & 57 St,40.757357,-73.904726,999,Queens999
183,699,Bronx,Intervale Ave & Kelly St,40.827301,-73.896372,999,Bronx999
184,701,Bronx,E 160 St & Tinton Ave,40.820302,-73.903944,999,Bronx999
185,703,Bronx,Seneca Ave & Irvine St,40.818726,-73.888624,999,Bronx999
186,707,Queens,Franklin St & Dupont St,40.737,-73.959,999,Queens999
187,708,Queens,48 St & 37 Ave,40.751555,-73.915026,999,Queens999
188,709,Queens,48 St & Broadway,40.755763,-73.912715,999,Queens999
189,710,Bronx,Jerome Ave & W Fordham Rd,40.86294,-73.90108,999,Bronx999
190,711,Bronx,Goulden Ave & W 197 St,40.87156,-73.89714,999,Bronx999
191,712,Bronx,Morris Ave & E 142 St,40.814469,-73.924963,999,Bronx999
192,715,Bronx,W Tremont Ave & Grand Ave,40.850036,-73.912785,999,Bronx999
193,718,Queens,18 St & 27 Ave,40.772768,-73.927436,999,Queens999
194,721,Queens,11 St & 35 Ave,40.7627442,-73.9391141,999,Queens999
195,724,Queens,43 St & 35 Ave,40.754139,-73.919543,999,Queens999
196,726,Bronx,Anthony Ave & E Tremont Ave,40.848793,-73.903178,999,Bronx999
197,727,Queens,McGuinness Blvd & Eagle St,40.73555,-73.95284,999,Queens999
198,732,Queens,49 Ave & 21 St,40.743,-73.948852,999,Queens999
199,733,Bronx,Boston Rd & Prospect Ave,40.833246,-73.896599,999,Bronx999
200,745,Queens,Crescent St & Broadway,40.763359,-73.928647,999,Queens999
201,750,Bronx,Jerome Ave & Anderson Ave,40.830179,-73.928747,999,Bronx999
202,753,Queens,36 St & Ditmars Blvd,40.774306,-73.908335,999,Queens999
203,761,Bronx,Cauldwell Ave & E 161 St,40.82188,-73.907521,999,Bronx999
204,776,Bronx,E Tremont Ave & Jerome Ave,40.851747,-73.908964,999,Bronx999
205,777,Bronx,OLD Southern Blvd & E 142 St,40.807258,-73.907999,999,Bronx999
206,782,Bronx,Nelson Ave & 167 St,40.836706,-73.926088,999,Bronx999
207,785,Bronx,Crotona Park North & Prospect Ave,40.841092,-73.892317,999,Bronx999
208,786,Bronx,Walton Ave & E 168 St,40.83649,-73.918316,999,Bronx999
209,790,Queens,28 Ave & 35 St,40.7671,-73.916985,999,Queens999
210,792,Bronx,E 171 St & Webster Ave,40.838379,-73.905838,999,Bronx999
211,800,Bronx,Willis Ave & E 143 St,40.812299,-73.92037,999,Bronx999
212,805,Bronx,Bruckner Blvd & Bryant Ave,40.821952,-73.888546,999,Bronx999
