,Borough,startStationName,startStationLatitude,startStationLongitude
126,Brooklyn,Halsey St & Broadway,40.68565,-73.91564
127,Bronx,Melrose Ave & E 150 St,40.818000000000005,-73.917
128,Brooklyn,Halsey St & Broadway,40.686,-73.917
129,Manhattan,12 Ave & W 40 St,40.760999999999996,-74.00399999999999
130,Bronx,Bruckner Blvd & Bryant Ave,40.821952,-73.88854599999999
131,Manhattan,1 Ave & E 16 St,40.732217999999996,-73.981655
132,Manhattan,W 42 St & 8 Ave,40.757569000000004,-73.990985
133,Brooklyn,Garfield Pl & 8 Ave,40.671197,-73.974841
134,Manhattan,Adam Clayton Powell Blvd & W 123 St,40.807832,-73.949373
135,Manhattan,Avenue D & E 3 St,40.720828000000004,-73.977932
136,Manhattan,Amsterdam Ave & W 119 St,40.808625,-73.959621
137,Manhattan,W 33 St & 7 Ave,40.75019995,-73.99093085
138,Manhattan,6 Ave & Canal St,40.72243797,-74.00566443
139,Brooklyn,Kingsland Ave & Nassau Ave,40.725770000000004,-73.94173
140,Brooklyn,Greene Av & Myrtle Av,40.698568,-73.918877
141,Brooklyn,Central Ave & Flushing Ave,40.702831,-73.9333
142,Bronx,Propsect Ave & E 151 St,40.814232000000004,-73.903927
143,Manhattan,Amsterdam Ave & W 162 St,40.83618,-73.939789
144,Manhattan,W 22 St & 10 Ave,40.746919,-74.004518
145,Manhattan,W 45 St & 8 Ave,40.759291,-73.988597
146,Manhattan,E 47 St & 2 Ave,40.753231,-73.970325
147,Brooklyn,Wolcott St & Dwight St,40.675327,-74.010069
148,Manhattan,Central Park W & W 96 St,40.791270000000004,-73.964839
149,Brooklyn,Bushwick Ave & Linden St,40.69146,-73.92146
150,Manhattan,2 Ave & E 104 St,40.789210499999996,-73.94370784
151,Brooklyn,State St & Smith St,40.68926942,-73.98912867
152,Manhattan,William St & Pine St,40.70717936,-74.00887308
153,Queens,Vernon Blvd & 41 Rd,40.7552433,-73.94856779999999
154,Manhattan,5 Ave & E 103 St,40.792255299999994,-73.95249933
155,Brooklyn,Carroll St & Smith St,40.680611,-73.99475825
156,Brooklyn,6 Ave & 55 St,40.640831,-74.01099599999999
157,Queens,Queens Plaza North & Crescent St,40.751101,-73.940737
158,Brooklyn,N 6 St & Bedford Ave,40.717451000000004,-73.95850899999999
159,Manhattan,Broadway & W 38 St,40.75299641,-73.98721619
160,Manhattan,E 33 St & 5 Ave,40.74765947,-73.98490707
161,Brooklyn,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
162,Brooklyn,Carlton Ave & Flushing Ave,40.697787,-73.973736
163,Brooklyn,Pacific St & Nevins St,40.6853761,-73.98302136
164,Bronx,E 169 St & Fox St,40.827184,-73.893721
165,Manhattan,W 107 St & Columbus Ave,40.8,-73.962
166,Manhattan,E 81 St & York Ave,40.773,-73.95
167,Manhattan,Park Pl & Church St,40.713342,-74.009355
168,Manhattan,Audubon Ave & W 192 St,40.85564,-73.927128
169,Queens,Crescent St & 30 Ave,40.768692,-73.92495699999999
170,Manhattan,Washington Pl & 6 Ave,40.73224119,-74.00026394
171,Manhattan,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
172,Brooklyn,Morgan Ave & Maspeth Ave,40.716657,-73.93637
